Designator,Mid X,Mid Y,Rotation,Layer
C1,406.1203,-52.4059,45.0,top
C2,405.6664,-68.1406,315.0,bottom
C3,412.4703,-58.5121,225.0,top
C5,416.7187,-215.1313,180.0,top
D1,107.95,-86.5187,90.0,bottom
D10,298.45,-86.5187,90.0,bottom
D100,355.6,-210.3437,90.0,bottom
D101,374.65,-210.3437,90.0,bottom
D102,393.7,-210.3437,90.0,bottom
D103,416.65,-211.15,0.0,top
D11,322.2625,-86.5187,90.0,bottom
D12,341.3125,-86.5187,90.0,bottom
D13,379.4125,-86.5187,90.0,bottom
D14,398.4625,-86.5187,90.0,bottom
D15,417.5125,-86.4562,90.0,bottom
D16,107.95,-110.3312,90.0,bottom
D17,136.525,-110.3312,90.0,bottom
D18,155.575,-110.3312,90.0,bottom
D19,174.625,-110.3312,90.0,bottom
D2,127.0,-86.5187,90.0,bottom
D20,193.675,-110.3312,90.0,bottom
D21,217.4875,-110.2687,90.0,bottom
D22,236.5375,-110.3312,90.0,bottom
D23,255.5875,-110.3312,90.0,bottom
D24,274.6375,-110.3312,90.0,bottom
D25,298.45,-110.3312,90.0,bottom
D26,317.5,-110.3312,90.0,bottom
D27,336.55,-110.3312,90.0,bottom
D28,355.6,-110.3312,90.0,bottom
D29,379.4125,-110.3312,90.0,bottom
D3,150.8125,-86.5187,90.0,bottom
D30,398.4625,-110.3312,90.0,bottom
D31,417.5125,-110.3312,90.0,bottom
D32,107.95,-134.1437,90.0,bottom
D33,127.0,-134.1437,90.0,bottom
D34,146.05,-134.1437,90.0,bottom
D35,165.1,-134.1437,90.0,bottom
D36,184.15,-134.1437,90.0,bottom
D37,203.2,-134.1437,90.0,bottom
D38,222.25,-134.1437,90.0,bottom
D39,241.3,-134.1437,90.0,bottom
D4,169.8625,-86.5187,90.0,bottom
D40,260.35,-134.1437,90.0,bottom
D41,279.4,-134.1437,90.0,bottom
D42,298.45,-134.1437,90.0,bottom
D43,317.5,-134.1437,90.0,bottom
D44,336.55,-134.1437,90.0,bottom
D45,365.125,-134.1437,90.0,bottom
D46,398.4625,-134.1437,90.0,bottom
D47,417.5125,-134.1437,90.0,bottom
D48,112.7125,-153.1937,90.0,bottom
D49,136.525,-153.1937,90.0,bottom
D5,193.675,-86.5187,90.0,bottom
D50,155.575,-153.1937,90.0,bottom
D51,174.625,-153.1937,90.0,bottom
D52,193.675,-153.1937,90.0,bottom
D53,212.725,-153.1312,90.0,bottom
D54,231.775,-153.1937,90.0,bottom
D55,250.825,-153.1937,90.0,bottom
D56,269.875,-153.1937,90.0,bottom
D57,288.925,-153.1937,90.0,bottom
D58,307.975,-153.1937,90.0,bottom
D59,327.025,-153.1937,90.0,bottom
D6,212.725,-86.5187,90.0,bottom
D60,346.075,-153.1937,90.0,bottom
D61,372.2688,-162.7187,90.0,bottom
D62,398.4625,-153.1937,90.0,bottom
D63,417.5125,-153.1937,90.0,bottom
D64,115.0938,-172.2437,90.0,bottom
D65,141.2875,-172.1812,90.0,bottom
D66,160.3375,-172.2437,90.0,bottom
D67,179.3875,-172.2437,90.0,bottom
D68,198.4375,-172.2437,90.0,bottom
D69,217.4875,-172.2437,90.0,bottom
D7,236.5375,-86.5187,90.0,bottom
D70,236.5375,-172.1812,90.0,bottom
D71,255.5875,-172.2437,90.0,bottom
D72,274.6375,-172.2437,90.0,bottom
D73,293.6875,-172.2437,90.0,bottom
D74,312.7375,-172.2437,90.0,bottom
D75,331.7875,-172.2437,90.0,bottom
D76,350.8375,-172.2437,90.0,bottom
D77,398.4625,-172.2437,90.0,bottom
D78,417.5125,-172.3062,90.0,bottom
D79,110.3313,-191.2937,90.0,bottom
D8,255.5875,-86.5187,90.0,bottom
D80,131.7625,-191.2937,90.0,bottom
D81,150.8125,-191.2937,90.0,bottom
D82,169.8625,-191.2937,90.0,bottom
D83,188.9125,-191.2937,90.0,bottom
D84,207.9625,-191.2937,90.0,bottom
D85,227.0125,-191.2937,90.0,bottom
D86,246.0625,-191.2937,90.0,bottom
D87,265.1125,-191.2937,90.0,bottom
D88,284.1625,-191.2937,90.0,bottom
D89,303.2125,-191.2937,90.0,bottom
D9,279.4,-86.5187,90.0,bottom
